,logl,unrestricted.logl,baseline.logl,nvar,nobs,npar,df,objective,chisq,pvalue,baseline.chisq,baseline.df,baseline.pvalue,nfi,pnfi,tli,nnfi,rfi,ifi,rni,cfi,rmsea,rmsea.ci.lower,rmsea.ci.upper,rmsea.pvalue,aic.ll,aic.ll2,aic.x,aic.x2,bic,bic2,ebic.25,ebic.5,ebic.75,ebic1
df1.unpruned,-1077935.733,-1074174.077,-1224867.72,66,2277,1012,1265,34.72844893,7523.313161,0,301387.286,2145,0,0.975037722,0.575022246,0.964537357,0.964537357,0.957672659,0.979147456,0.979086134,0.979086134,0.017671144,0.017286714,0.018057773,1,2157895.467,2158033.721,4993.313161,9547.313161,2165657.996,2162441.933,2169897.926,2174137.857,2177529.801,2182617.718
df2.unpruned,-1073650.648,-1069886.851,-1218235.839,66,2277,1012,1265,34.18286503,7527.59372,0,296697.9756,2145,0,0.974628766,0.574781067,0.963948147,0.963948147,0.956979212,0.978801981,0.978738651,0.978738651,0.017677187,0.017292768,0.018063804,1,2149325.296,2149463.551,4997.59372,9551.59372,2157087.825,2153871.762,2161327.756,2165567.686,2168959.631,2174047.548
df3.unpruned,-1102376.362,-1098492.299,-1244752.786,66,2277,1012,1265,37.84953228,7768.126272,0,292520.9731,2145,0,0.973444207,0.574082481,0.962024957,0.962024957,0.954970613,0.977672127,0.977604462,0.977604462,0.018013459,0.017629686,0.018399413,1,2206776.724,2206914.979,5238.126272,9792.126272,2214539.253,2211323.19,2218779.184,2223019.114,2226411.059,2231498.976
df4.unpruned,-1098388.913,-1094374.838,-1238120.905,66,2277,1012,1265,37.3415216,8028.149488,0,287492.133,2145,0,0.972075238,0.57327514,0.959810533,0.959810533,0.952649316,0.976371389,0.97629852,0.97629852,0.018370058,0.017986931,0.018755345,1,2198801.826,2198940.081,5498.149488,10052.14949,2206564.355,2203348.292,2210804.286,2215044.216,2218436.161,2223524.077
df5.unpruned,-1083831.854,-1080284.986,-1224721.584,66,2277,1012,1265,35.56406408,7093.736321,0,288873.1966,2145,0,0.975443425,0.575261507,0.96553004,0.96553004,0.95836059,0.979733761,0.979671562,0.979671562,0.017053881,0.016668165,0.017441827,1,2169687.708,2169825.963,4563.736321,9117.736321,2177450.237,2174234.175,2181690.168,2185930.099,2189322.043,2194409.96
df6.unpruned,-1079535.729,-1075983.787,-1218089.704,66,2277,1012,1265,35.01708649,7103.88313,0,284211.8327,2145,0,0.975004971,0.575002931,0.964899401,0.964899401,0.957617124,0.979364027,0.979299647,0.979299647,0.017068719,0.016683035,0.017456631,1,2161095.458,2161233.712,4573.88313,9127.88313,2168857.987,2165641.924,2173097.917,2177337.848,2180729.792,2185817.709
df7.unpruned,-1108048.574,-1104371.276,-1244606.65,66,2277,1012,1265,38.65688147,7354.597076,0,280470.7491,2145,0,0.973777668,0.574279138,0.962900168,0.962900168,0.955536046,0.978189571,0.978120612,0.978120612,0.017431321,0.017046408,0.017818446,1,2218121.148,2218259.403,4824.597076,9378.597076,2225883.677,2222667.614,2230123.608,2234363.538,2237755.483,2242843.399
df8.unpruned,-1103916.015,-1100242.512,-1237974.769,66,2277,1012,1265,38.13055226,7347.005658,0,275464.5148,2145,0,0.973328668,0.574014342,0.962267729,0.962267729,0.954774697,0.97781905,0.977747635,0.977747635,0.017420453,0.017035517,0.017807601,1,2209856.03,2209994.284,4817.005658,9371.005658,2217618.559,2214402.496,2221858.489,2226098.42,2229490.364,2234578.281
df9.unpruned,-1075592.981,-1071940.385,-1221832.677,66,2277,1012,1265,34.54882451,7305.192546,0,299784.5835,2145,0,0.975631861,0.575372636,0.965589034,0.965589034,0.958680111,0.979766177,0.979706353,0.979706353,0.017360468,0.016975407,0.017747743,1,2153209.962,2153348.217,4775.192546,9329.192546,2160972.491,2157756.429,2165212.422,2169452.352,2172844.297,2177932.214
df10.unpruned,-1071325.477,-1067684.787,-1215200.796,66,2277,1012,1265,34.00546004,7281.381083,0,295032.0189,2145,0,0.975320031,0.575188736,0.965168515,0.965168515,0.958151357,0.979519889,0.979458355,0.979458355,0.017326215,0.016941083,0.017713563,1,2144674.954,2144813.208,4751.381083,9305.381083,2152437.483,2149221.42,2156677.414,2160917.344,2164309.289,2169397.205
